020109 N- ----GSM- ----GSY Ἰωάννου⸃. Ἰωάννου Ἰωάννου Ἰωάννης
020110 C- -------- ------- καὶ καὶ καί καί
020110 A- ----NSM- ----NSM ⸀εὐθὺς εὐθὺς εὐθύς εὐθύς
020110 V- -PAPNSM- PAP-NSM ἀναβαίνων ἀναβαίνων ἀναβαίνων ἀναβαίνω
020110 P- -------- ------- ⸀ἐκ ἐκ ἐκ ἐκ
020110 RA ----GSN- ----GSY τοῦ τοῦ τοῦ ὁ
020110 N- ----GSN- ----GSY ὕδατος ὕδατος ὕδατος ὕδωρ
020110 V- 3AAI-S-- AAI3-S- εἶδεν εἶδεν εἶδε(ν) ὁράω
020110 V- -PPPAPM- PMP-APM σχιζομένους σχιζομένους σχιζομένους σχίζω
020110 RA ----APM- ----APM τοὺς τοὺς τούς ὁ
020110 N- ----APM- ----APM οὐρανοὺς οὐρανοὺς οὐρανούς οὐρανός
020110 C- -------- ------- καὶ καὶ καί καί
020110 RA ----ASN- ----CSN τὸ τὸ τό ὁ
020110 N- ----ASN- ----CSN πνεῦμα πνεῦμα πνεῦμα πνεῦμα
020110 C- -------- ------- ⸀ὡς ὡς ὡς ὡς
020110 N- ----ASF- ----ASF περιστερὰν περιστερὰν περιστεράν περιστερά
020110 V- -PAPASN- PAP-CSN καταβαῖνον καταβαῖνον καταβαῖνον καταβαίνω
020110 P- -------- ------- ⸀εἰς εἰς εἰς εἰς
020110 RP ----ASM- ----ASM αὐτόν· αὐτόν αὐτόν αὐτός
020111 C- -------- ------- καὶ καὶ καί καί
020111 N- ----NSF- ----NSF φωνὴ φωνὴ φωνή φωνή
020111 V- 3AMI-S-- AMI3-S- ἐγένετο ἐγένετο ἐγένετο γίνομαι
020111 P- -------- ------- ἐκ ἐκ ἐκ ἐκ
020111 RA ----GPM- ----GPX τῶν τῶν τῶν ὁ
020111 N- ----GPM- ----GPX οὐρανῶν· οὐρανῶν οὐρανῶν οὐρανός
020111 RP ----NS-- ----NS- Σὺ Σὺ σύ σύ
020111 V- 2PAI-S-- PAI2-S- εἶ εἶ εἶ εἰμί
020111 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
020111 N- ----NSM- ----NSM υἱός υἱός υἱός υἱός
