030110 N- ----GSN- ----GSY θυμιάματος· θυμιάματος θυμιάματος θυμίαμα
030111 V- 3API-S-- API3-S- ὤφθη ὤφθη ὤφθη ὁράω
030111 C- -------- ------- δὲ δὲ δέ δέ
030111 RP ----DSM- ----DSY αὐτῷ αὐτῷ αὐτῷ αὐτός
030111 N- ----NSM- ----NSM ἄγγελος ἄγγελος ἄγγελος ἄγγελος
030111 N- ----GSM- ----GSY κυρίου κυρίου κυρίου κύριος
030111 V- -XAPNSM- XAP-NSM ἑστὼς ἑστὼς ἑστώς ἵστημι
030111 P- -------- ------- ἐκ ἐκ ἐκ ἐκ
030111 A- ----GPN- ----GPX δεξιῶν δεξιῶν δεξιῶν δεξιός
030111 RA ----GSN- ----GSY τοῦ τοῦ τοῦ ὁ
030111 N- ----GSN- ----GSY θυσιαστηρίου θυσιαστηρίου θυσιαστηρίου θυσιαστήριον
030111 RA ----GSN- ----GSY τοῦ τοῦ τοῦ ὁ
030111 N- ----GSN- ----GSY θυμιάματος. θυμιάματος θυμιάματος θυμίαμα
030112 C- -------- ------- καὶ καὶ καί καί
030112 V- 3API-S-- API3-S- ἐταράχθη ἐταράχθη ἐταράχθη ταράσσω
030112 N- ----NSM- ----NSM Ζαχαρίας Ζαχαρίας Ζαχαρίας Ζαχαρίας
030112 V- -AAPNSM- AAP-NSM ἰδών, ἰδών ἰδών ὁράω
030112 C- -------- ------- καὶ καὶ καί καί
030112 N- ----NSM- ----NSM φόβος φόβος φόβος φόβος
030112 V- 3AAI-S-- AAI3-S- ἐπέπεσεν ἐπέπεσεν ἐπέπεσε(ν) ἐπιπίπτω
030112 P- -------- ------- ἐπ’ ἐπ’ ἐπί ἐπί
030112 RP ----ASM- ----ASM αὐτόν. αὐτόν αὐτόν αὐτός
030113 V- 3AAI-S-- AAI3-S- εἶπεν εἶπεν εἶπε(ν) λέγω
030113 C- -------- ------- δὲ δὲ δέ δέ
030113 P- -------- ------- πρὸς πρὸς πρός πρός
030113 RP ----ASM- ----ASM αὐτὸν αὐτὸν αὐτόν αὐτός
030113 RA ----NSM- ----NSM ὁ ὁ ὁ ὁ
030113 N- ----NSM- ----NSM ἄγγελος· ἄγγελος ἄγγελος ἄγγελος
030113 D- -------- ------- Μὴ Μὴ μή μή
030113 V- 2PMD-S-- PMD2-S- φοβοῦ, φοβοῦ φοβοῦ φοβέομαι
030113 N- ----VSM- ----VSM Ζαχαρία, Ζαχαρία Ζαχαρία Ζαχαρίας
030113 C- -------- ------- διότι διότι διότι διότι
030113 V- 3API-S-- API3-S- εἰσηκούσθη εἰσηκούσθη εἰσηκούσθη εἰσακούω
030113 RA ----NSF- ----NSF ἡ ἡ ἡ ὁ
030113 N- ----NSF- ----NSF δέησίς δέησίς δέησις δέησις
030113 RP ----GS-- ----GS- σου, σου σου σύ
030113 C- -------- ------- καὶ καὶ καί καί
030113 RA ----NSF- ----NSF ἡ ἡ ἡ ὁ
030113 N- ----NSF- ----NSF γυνή γυνή γυνή γυνή
030113 RP ----GS-- ----GS- σου σου σου σύ
030113 N- ----NSF- ------- Ἐλισάβετ Ἐλισάβετ Ἐλισάβετ Ἐλισάβετ
030113 V- 3FAI-S-- FAI3-S- γεννήσει γεννήσει γεννήσει γεννάω
030113 N- ----ASM- ----ASM υἱόν υἱόν υἱόν υἱός
030113 RP ----DS-- ----DS- σοι, σοι σοι σύ
030113 C- -------- ------- καὶ καὶ καί καί
030113 V- 2FAI-S-- FAI2-S- καλέσεις καλέσεις καλέσεις καλέω
030113 RA ----ASN- ----CSN τὸ τὸ τό ὁ
030113 N- ----ASN- ----CSN ὄνομα ὄνομα ὄνομα ὄνομα
030113 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
030113 N- ----ASM- ----ASM Ἰωάννην· Ἰωάννην Ἰωάννην Ἰωάννης
030114 C- -------- ------- καὶ καὶ καί καί
030114 V- 3FMI-S-- FMI3-S- ἔσται ἔσται ἔσται εἰμί
030114 N- ----NSF- ----NSF χαρά χαρά χαρά χαρά
030114 RP ----DS-- ----DS- σοι σοι σοι σύ
030114 C- -------- ------- καὶ καὶ καί καί
030114 N- ----NSF- ----NSF ἀγαλλίασις, ἀγαλλίασις ἀγαλλίασις ἀγαλλίασις
030114 C- -------- ------- καὶ καὶ καί καί
030114 A- ----NPM- ----NPM πολλοὶ πολλοὶ πολλοί πολύς
030114 P- -------- ------- ἐπὶ ἐπὶ ἐπί ἐπί
030114 RA ----DSF- ----DSF τῇ τῇ τῇ ὁ
030114 N- ----DSF- ----DSF ⸀γενέσει γενέσει γενέσει γένεσις
030114 RP ----GSM- ----GSY αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
030114 V- 3FPI-P-- FPI3-P- χαρήσονται· χαρήσονται χαρήσονται χαίρω
030115 V- 3FMI-S-- FMI3-S- ἔσται ἔσται ἔσται εἰμί
030115 C- -------- ------- γὰρ γὰρ γάρ γάρ
030115 A- ----NSM- ----NSM μέγας μέγας μέγας μέγας
030115 P- -------- ------- ἐνώπιον ἐνώπιον ἐνώπιον ἐνώπιον
030115 RA ----GSM- ----GSY ⸀τοῦ τοῦ τοῦ ὁ
030115 N- ----GSM- ----GSY κυρίου, κυρίου κυρίου κύριος
030115 C- -------- ------- καὶ καὶ καί καί
030115 N- ----ASM- ----ASM οἶνον οἶνον οἶνον οἶνος
030115 C- -------- ------- καὶ καὶ καί καί
030115 N- ----ASN- ------- σίκερα σίκερα σίκερα σίκερα
030115 D- -------- ------- οὐ οὐ οὐ οὐ
030115 D- -------- ------- μὴ μὴ μή μή
030115 V- 3AAS-S-- AAS3-S- πίῃ, πίῃ πίῃ πίνω
030115 C- -------- ------- καὶ καὶ καί καί
